,hosp_num,hosp_name,full_address,addr,city_state_zip,nicu_beds,num_neonats,neonat_names,referral
1,1,PROVIDENCE ALASKA MEDICAL CENTER,"3200 Providence Dr., Pouch 196604 Anchorage, AK 99519-6604","3200 Providence Dr., Pouch 196604","Anchorage, AK 99519-6604",Level IIIB; NICU Beds: 50,Neonatologists: 7,Neonatologists names: Emilio Avila; Jack Jacob; Eric Johnson; Mary Alice Johnson; Kenneth Kesler; Lily Lou; Evelyn Rider,NA
2,2,SHELBY BAPTIST MEDICAL CENTER,"1000 First St. N. Alabaster, AL 35007-0488",1000 First St. N.,"Alabaster, AL 35007-0488",Level IIIB; NICU Beds: 10,Neonatologists:,NA,"Refer to Neonatologists Group of University of Alabama Hospital/Children's Hospital of Alabama, Birmingham, AL"
3,3,UAB MEDICAL WEST,"995 9th Ave., SW Bessemer, AL 35022","995 9th Ave., SW","Bessemer, AL 35022",Level IIA; NICU Beds: 4,Neonatologists:,NA,"Refer to Neonatologists Group of University of Alabama Hospital/Children's Hospital of Alabama, Birmingham, AL"
4,4,BROOKWOOD MEDICAL CENTER,"2010 Brookwood Medical Center Dr. Birmingham, AL 35209",2010 Brookwood Medical Center Dr.,"Birmingham, AL 35209",Level IIIB; NICU Beds: 25,Neonatologists: 3,Neonatologists names: Vick Carlo; Wahib Mena; Martha Strange,NA
5,5,COOPER GREEN MERCY HOSPITAL,"1515 Sixth Ave. Birmingham, AL 35233",1515 Sixth Ave.,"Birmingham, AL 35233",Level IIIA; NICU Beds: 4,Neonatologists:,NA,"Refer to Neonatalogists Group of University of Alabama Hospital/Children's Hospital of Alabama, Birmingham, AL"
6,6,PRINCETON BAPTIST MEDICAL CENTER,"201 Princeton Ave. S.W. Birmingham, AL 35211",201 Princeton Ave. S.W.,"Birmingham, AL 35211",Level IIIB; NICU Beds: 12,Neonatologists:,NA,"Refer to Neonatolegists Group of University of Alabama Hospital/Children's Hospital of Alabama, Birmingham, AL"
7,7,ST. VINCENT'S EAST,"50 Medical Park Dr. E. Birmingham, AL 35235",50 Medical Park Dr. E.,"Birmingham, AL 35235",Level IIIA; NICU Beds: 8,Neonatologists:,NA,"Refer to Neonatologists Group of University of Alabama Hospital/Children's Hospital of Alabama, Birmingham, AL"
8,8,ST. VINCENT'S HOSPITAL,"2660 10th Ave. S., Suite 636 Birmingham, AL 35205","2660 10th Ave. S., Suite 636","Birmingham, AL 35205",Level IIIB; NICU Beds: 23,Neonatologists: 2,Neonatologists names: Terry Bierd; Roger Dean Bruce,NA
9,9,TRINITY MEDICAL CENTER,"800 Montclair Rd. Birmingham, AL 35213",800 Montclair Rd.,"Birmingham, AL 35213",Level IIIB; NICU Beds: 16,Neonatologists:,NA,"Refer to Neonatologists Group of University of Alabama Hospital/Children's Hospital of Alabama, Birmingham, AL"
10,10,UNIVERSITY OF ALABAMA AT BIRMINGHAM HOSPITAL; CHILDREN'S HOSPITAL OF ALABAMA,"1700 6th Ave. South Birmingham, AL 35249",1700 6th Ave. South,"Birmingham, AL 35249",Level IIIC; NICU Beds: 175,Neonatolagists: 14,Neonatologists names: Namasivayam Ambalavanan; Allison Black; Waldemar Carlo; Carl Coghill; Reed Dimmit; George El-Ferzli; Virginia Anne Karle; Rees Oliver; Joseph Philips III; David Randolph; Brian Simms; Thomas Soltau; Elaine St. John; Rune Toms,NA
11,11,HUNTSVILLE HOSPITAL; WOMEN'S AND CHILDREN'S,"101 Sivley Rd. Huntsville, AL 35801",101 Sivley Rd.,"Huntsville, AL 35801",Level IIIB; NICU Beds: 45,Neonatologists: 4,Neonatologists names: Thomas Davison; Meyer Dworsky; Lee Morris; Zuzana Novak,NA
12,12,USA CHILDREN'S & WOMEN'S HOSPITAL,"1700 Center St. Mobile, AL 36604-3391",1700 Center St.,"Mobile, AL 36604-3391",Level IIIB; NICU Beds: 70,Neonatologists: 6,Neonatologists names: John Benjamin; Fabien Eyal; Charles Hamm; Keith Peevy; Richard Whitehurst Jr.; Michael Zayek,NA
13,13,BAPTIST MEDICAL CENTER,"2019 Normandie Dr. Montgomery, AL 36111",2019 Normandie Dr.,"Montgomery, AL 36111",Level IIIB; NICU Beds: 40,Neonatologists: 5,Neonatologists names: Cynthia Bonner; Aaron Millage; James Newton; Lynn Whittington; John Woodall,NA
14,14,NORTHPORT MEDICAL CENTER,"2700 Hospital Drive Northport, AL 35476",2700 Hospital Drive,"Northport, AL 35476",Level IIIB; NICU Beds: 13,Neonatologists:,NA,"Refer to Neonatologists Group of Druid City Hospital Regional Medical Center, Tuscaloosa, AL"
15,15,DRUID CITY HOSPITAL REGIONAL MEDICAL CENTER,"809 University Blvd. E. Tuscaloosa, AL 35401",809 University Blvd. E.,"Tuscaloosa, AL 35401",Level IIIB; NICU Beds: 23,Neonatologists: 3,Neonatologists names: Hanseek Choi; Guillermo Godoy; Javier Repetto,NA
16,16,"U.S. NAVAL HOSPITAL, OKINAWA","Camp Foster, Psc 482 Attn: 5 West FPO (Okinawa, Japan), AP 96362","Camp Foster, Psc 482 Attn: 5 West","FPO (Okinawa, Japan), AP 96362",Level IIIB; NICU Beds: 14,Neonatologists: 4,Neonatologists names: Abel Guerra; A. Hernandez; S. Messier; Lindy Winter,NA
17,17,WILLOW CREEK WOMEN'S HOSPITAL,"4301 Greathouse Spring Rd. Johnson City, AR 72741",4301 Greathouse Spring Rd.,"Johnson City, AR 72741",Level IIIB; NICU Beds: 24,Neonatologists: 2,Neonatologists names: Bo Lin; Sameer Wagle,NA
18,18,ARKANSAS CHILDREN'S HOSPITAL,"800 Marshall Little Rock, AR 72202",800 Marshall,"Little Rock, AR 72202",Level IIIC; NICU Beds: 130,Neonatologists: 17,Neonatologists names: Robert Arrington; Angela Chandler; Nahed Elhassan; Whit Hall; Jeffrey Kaiser; Marla Lightburn; Robert Lyle; Tonya Marotti; Franfoesoa Miquel-Verges; Kristine Palmer; Becky Rogers; Ashley Ross; Joanne Szabo; Bonnie Taylor; Billy Thomas; Donnal Walter; Vivien Yap,NA
19,19,BAPTIST MEDICAL CENTER,"9601 Interstate 630, Exit 7 Little Rock, AR 72205","9601 Interstate 630, Exit 7","Little Rock, AR 72205",Level IIIB; NICU Beds: 50,Neonatologists: 4,Neonatologists names: William Benton; Richard Nestrud; Ricardo Sotomora; Terrance Zuerlein,NA
20,20,ST. VINCENT DOCTORS HOSPITAL,"#2 St. Vincent Circle Little Rock, AR 72205",#2 St. Vincent Circle,"Little Rock, AR 72205",Level IIIA; NICU Beds: 22,Neonatologists:,NA,"Refer to Neonatologists Group of Baptist Medical Center, Little Rock, AR"
21,21,THE UNIVERSITY HOSPITAL OF ARKANSAS,"4301 W. Markham St. Little Rock, AR 72205",4301 W. Markham St.,"Little Rock, AR 72205",Levelt IIIB; NICU Beds: 64,Neonatologists:,NA,"Refer to Neonatologists Group of Arkansas Children's Hospital, Little Rock, AR"
22,22,CHANDLER REGIONAL MEDICAL CENTER,"475 S. Dobson Rd. Chandler, AZ 85224",475 S. Dobson Rd.,"Chandler, AZ 85224",Level IIIA; NICU Beds: 20,Neonatologists:,NA,"Refer to Neonatologists Group of Banner Children's Hospital, Mesa, AZ"
