"","hosp_num","hosp_name","full_address","addr","city","state","zip","nicu_beds","num_neonats","neonat_names","referral"
"1",1,"SHELBY MEDICAL CENTER","1000 First St. N., P.O. Box 488 Alabaster  AL  35007","1000 First St. N., P.O. Box 488","Alabaster"," AL ","35007","NICU Beds:6","Neonatologists:",NA,"Refer to Children’s Hospital of Alabama"
"2",2,"BROOKWOOD MEDICAL CENTER ","2010 Brookwood Medical Center Dr. Birmingham  AL  35209","2010 Brookwood Medical Center Dr.","Birmingham"," AL ","35209","NICU Beds:18 ","Neonatolagists:2","Neonatologists names: Wahib Mena; Martha Strange",NA
"3",3,"COOPER GREEN HOSPITAL ","1515 Sixth Ave. Birmingham  AL  35233","1515 Sixth Ave.","Birmingham"," AL ","35233","NICU Beds: 4 ","Neonatologists:",NA,NA
"4",4,"MEDICAL CENTER EAST","50 Medical Park Dr. E. Birmingham  AL  35235","50 Medical Park Dr. E.","Birmingham"," AL ","35235","NICU Beds:6","Neonatologists:",NA,"Refer to Children's Hospital of Alabama"
"5",5,"MONTCLAIR BAPTIST MEDICAL CENTER","800 Montclair Rd. Birmingham  AL  35213","800 Montclair Rd.","Birmingham"," AL ","35213","NICU Beds: 12","Neonatologists:",NA,"Refer to Children's Hospital of Alabama"
"6",6,"PRINCETON BAPTIST MEDICAL CENTER","201 Princeton Ave. S.W. Birmingham  AL  35211","201 Princeton Ave. S.W.","Birmingham"," AL ","35211","NICU Beds:8","Neonatologists:",NA,"Refer to Children's Hospital of Alabama"
"7",7,"ST. VINCENT'S HOSPITAL ","2660 10th Ave. S. Birmingham  AL  35205","2660 10th Ave. S.","Birmingham"," AL ","35205","NICU Beds:23","Neonatologists:2","Neonatologists names: Terry Bierd; Roger Bruce",NA
"8",8,"UNIVERSITY OF ALABAMA HOSPITAL CHILDREN'S HOSPITAL OF ALABAMA","619 S. 20th St. Birmingham  AL  35233","619 S. 20th St.","Birmingham"," AL ","35233","NICU Beds:78","Neonatologits:7","Neonatologists names: Elaine Barfield; Waldemar Carlo; Carl Coghill; James Haywood; Virginia Karle; Joseph Philips; Sidartha Tan",NA
"9",9,"UNIVERSITY OF SO. ALABAMA MEDICAL CENTER","2451 Fillingim St. Mobile  AL  36617","2451 Fillingim St.","Mobile"," AL ","36617","NICU Beds:45","Neonatologists:6","Neonatologists names: Fabien Eyal; Charles Hamm Jr; Keith Peevy; Beverly Roy; Richard Whitehurst Jr; Michael Zayek",NA
"10",10,"BAPTIST MEDICAL CENTER ","2105 E. South Blvd. Montgomery  AL  36116","2105 E. South Blvd.","Montgomery"," AL ","36116","NiCU Beds:24","Neonatologists:6","Neonatologists names: Allan Cheek; Rodney Curand; Allan Newton; Lawrence Wallin; Lynn Whittington; John Woodall",NA
"11",11,"DRUID CITY HOSPITAL REGIONAL MEDICAL CENTER","809 University Blvd. E. Tuscaloosa  AL  35401","809 University Blvd. E.","Tuscaloosa"," AL ","35401","NICU Bads:20","Neonatologists:2","Neonatologists names: Hanseek Choi; Guillermo Godoy",NA
"12",12,"PROVIDENCE HOSPITAL ","3400 Providence Dr. Anchorage  AK  99519","3400 Providence Dr.","Anchorage"," AK ","99519","NICU Beds:36","Neonatologists:6","Neonatologists names: Jack Anderson; Emilio Avila; Roy Davis; Jack Jacob; Eric Johnson; Kenneth Kesler",NA
"13",13,"USNH - OKINAWA","PSC 482 - Box 86 USNH FPO  AP  96363","PSC 482 - Box 86 USNH","FPO"," AP ","96363",NA,"Neonatologists:2","Neonatologists names: John Golden; David Goodwin",NA
"14",14,"CHANDLER REGIONAL HOSPITAL","475 S. Dobson Rd. Chandler  AZ  85224","475 S. Dobson Rd.","Chandler"," AZ ","85224","NICU Beds:3","Neonatologists:",NA,"Refer to Desert Samaritan Medical Center"
"15",15,"FLAGSTAFF MEDICAL CENTER","1200 N. Beaver St. Flagstaff  AZ  86001","1200 N. Beaver St.","Flagstaff"," AZ ","86001","NICU Beds:12","Neonalologists:1","Neonatologists names: John Steenbarger",NA
"16",16,"THUNDERBIRD SAMARITAN MEDICAL CENTER","5555 W. Thunderbird Rd. Glendale  AZ  85306","5555 W. Thunderbird Rd.","Glendale"," AZ ","85306","NICU Beds:10","Neonatologists:",NA,"Refer to Phoenix Children's Hospital"
"17",17,"DESERT SAMARITAN MEDICAL CENTER","1400 S. Dobson Rd. Mesa  AZ  85202","1400 S. Dobson Rd.","Mesa"," AZ ","85202","NICU Beds:18","Neonatologists:2","Neonatologists names: Katherine Allare; Glenn Waterkotte","Refer to Phoenix Children's Hospital"
"18",18,"MARICOPA MEDICAL CENTER ","2601 E. Roosevelt St. Phoenix  AZ  85010","2601 E. Roosevelt St.","Phoenix"," AZ ","85010","NICU Beds:30","Neonatologists:4","Neonatologists names: Jose Gonzalez; Mahesh Kotwal; Marl Shoptaugh; Victor Zapanta",NA
"19",19,"MARYVALE SAMARITAN MEDICAL CENTER","5102 W. Campbell Ave. Phoenix  AZ  85031","5102 W. Campbell Ave.","Phoenix"," AZ ","85031","NICU Beds:4","Neonatologists:",NA,NA
"20",20,"PHOENIX CHILDREN'S HOSPITAL ","1111 E. McDowell Rd. Phoenix  AZ  85006","1111 E. McDowell Rd.","Phoenix"," AZ ","85006","NICU Beds:45","Neonatologists:6","Neonatologists names: Cristina Carballo; Jack Christiansen; Teddy Dela Cruz; Larry Eggert; Michael McQueen; Eric Tack",NA
"21",21,"PHOENIX MEMORIAL HOSPITAL","1201 S. 7th Ave./Box 1201 Phoenix  AZ  85007","1201 S. 7th Ave./Box 1201","Phoenix"," AZ ","85007","NICU Beds:12","Neonatologists:",NA,NA
"22",22,"ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER","350 W. Thomas Rd. Phoenix  AZ  85013","350 W. Thomas Rd.","Phoenix"," AZ ","85013","NICU Beds:42","Neonalologists:5","Neonatologists names: William Daily Jr; Donna Hamburg; Thomas Harris; Montgomery Hart; Daniel Sprague ",NA
"23",23,"ANHSC/CRC ","1501 N. Campbell Ave. Tucson  AZ  85724","1501 N. Campbell Ave.","Tucson"," AZ ","85724","NICU Beds:30","Neonatologists:7","Neonatologists names: Carlos Flores; Pamela Kling; Wallace Nogami; Anthony Philippps; Devyani Raval; Moira Richards; Evelyn Rider ",NA
"24",24,"CARONDELET ST. JOSEPH'S HOSPITAL","350 N. Wilmont Rd. Tucson  AZ  85711","350 N. Wilmont Rd.","Tucson"," AZ ","85711","NICU Beds:17","Neonatologists:2","Neonatologists names: Dariush Mehrabani; Robert Sexton",NA
"25",25,"TUCSON MEDICAL CENTER","5301 E. Grant Rd. Tucson  AZ  85733","5301 E. Grant Rd.","Tucson"," AZ ","85733","NICU Beds:32","Neonatologists:",NA,"Refer to AHSC/CRC, Tuscon"
"26",26,"UNIVERSITY MEDICAL CENTER","1501 N. Campbell Ave. Tucson  AZ  85724","1501 N. Campbell Ave.","Tucson"," AZ ","85724","NICU Beds:32","Neonatologists:",NA,"Refer to AHSC/CRC, Tucson"
"27",27,"ARKANSAS CHILDREN'S HOSPITAL","800 Marshall Little Rock  AR  72202","800 Marshall","Little Rock"," AR ","72202","NICU Beds:46","Neonatologists:12","Neonatologists names: Robert Arrington; Zuhair Bakdoud; Paul Grim; Whit Hall; Mark Heulitt; Susan Landers; Robert Lyle; Jon Mazursky; Bonnie Taylor; Billy Thomas; Donnal Walter",NA
"28",28,"BAPTIST MEDICAL CENTER","9601 Interstate 630, Exit 7 Little Rock  AR  72205","9601 Interstate 630, Exit 7","Little Rock"," AR ","72205","NICU Beds:18","Neonatologists:",NA,"Refer to HCA Doctor's Hospital"
"29",29,"COLUMBIA DOCTOR'S HOSPITAL","W. Capitol & University Ave. Little Rock  AR  72205","W. Capitol & University Ave.","Little Rock"," AR ","72205","NICU Beds:16","Neonatologists:",NA,"Refer to HCA Doctor's Hospital"
"30",30,"HCA DOCTORS HOSPITAL","6101 W. Capitol Little Rock  AR  72205","6101 W. Capitol","Little Rock"," AR ","72205","NICU Beds:20","Neonatologists:4","Neonatologists names: William Benton; Richard Nestrud; Richard Sotomaora; Terrace Zuerlein",NA
"31",31,"ST. VINCENT INFIRMARY MEDICAL CENTER","Two St. Vincent Circle Little Rock  AR  72205","Two St. Vincent Circle","Little Rock"," AR ","72205","NICU Beds:14","Neonatologists:",NA,"Refer to HCA Doctor's Hospital"
"32",32,"THE UNIVERSITY HOSPITAL OF ARKANSAS","4301 W. Markham St. Little Rock  AR  72205","4301 W. Markham St.","Little Rock"," AR ","72205","NICU Beds:35","Neonatologists:",NA,"Refer to Arkansas Children's Hospital"
"33",33,"KAISER PERMANENTE MEDICAL CENTER - ANAHEIM","441 N. Lakeview Ave. Anaheim  CA  92807","441 N. Lakeview Ave.","Anaheim"," CA ","92807","NICU Beds:8","Neonatologists:4 ","Neonatologists names: Sogba Bosu; Theodore Calidendo; Luke Yu; Ya Mei Yu",NA
